entity_id,dt_url,pic_url,label_color,label_index,sku
122,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771360_datablad_panasonic_aquarea_monoblok_j_1_1.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771140_Energimærke WH-MXC12H9E8 Panasonic_1.jpg,green,AAA,346771590
123,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771360_datablad_panasonic_aquarea_monoblok_j_1_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771100_Energimærke WH-MXC16H9E8 Panasonic_0.jpg,green,AAA,346771600
124,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771160_Datablad Panasonic Aquarea monoblock_0_3.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771120_Energimærke WH-MXC09H3E8 Panasonic_0.jpg,green,AAA,346771610
125,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771160_Datablad Panasonic Aquarea monoblock_0_2.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771140_Energimærke WH-MXC12H9E8 Panasonic_0.jpg,green,AAA,346771620
126,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/305500A10_Ilana pilleovn Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/305500A10_energimærke ILANA 8.jpg,green,AA,305500A10
127,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/Ilana pilleovn Datablad_305500A10.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/305500A10_energimærke ILANA 8_0.jpg,green,AA,305500A15
128,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/345118A30_Tekniske datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/345118A30_WV03039_energimærke.PNG,yellow,C,345118A30
129,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/Eldom-Galanta-Spectra_W_2021-11-05_A5.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/345118A30_WV03039_energimærke.jpg,yellow,C,345118C30
130,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/Teknisk data Eldom.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/345118A10_Energimærke.jpg,darkgreen,B,345118A10
131,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/80000006108_datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/energimærke airam g4.PNG,green,AAA,80000006108
132,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/80000003463_Energimærke.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/80000003463_Energimærke.jpg,green,AA,80000003463
133,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/Datablad El-Max LED armatur.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/80000100505_enerimaerke.pdf,green,AAA,80000100505
