import_file_id,import_id,store_id,filename,label,customer_groups,is_visible,include_in_order,product_ids,category_ids,product_skus,link
,,0,ventilsystem_type33,ventilsystem_type33,,1,,,17680,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2018-09/ventilsystem_type33.pdf
,,0,heizrad_plan_front_dokumentation,heizrad_plan_front_dokumentation,,1,,,17678,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2018-05/heizrad_plan_front_dokumentation.pdf
,,0,datablad_sojleradiator,datablad_sojleradiator,,1,,,19781,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2019-08/datablad_sojleradiator.pdf
,,0,biomax_manual_1.40.2.2,biomax_manual_1.40.2.2,,1,,,20372,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2021-11/biomax_manual_1.40.2.2.pdf
,,0,biomax_solo-compact_manual,biomax_solo-compact_manual,,1,,,17719,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/biomax_solo-compact_manual.pdf
,,0,biomax_16-30_manual,biomax_16-30_manual,,1,,,17987,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/biomax_16-30_manual.pdf
,,0,vejledning_transport_af_traepiller,vejledning_transport_af_traepiller,,1,,,17725,"303090815, 303090820",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/vejledning_transport_af_traepiller.pdf
,,0,scotte_manual,scotte_manual,,1,,,17989,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/scotte_manual.pdf
,,0,bb14_manual,bb14_manual,,1,,,17720,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/bb14_manual.pdf
,,0,bio18_manual,bio18_manual,,1,,,17721,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/bio18_manual.pdf
,,0,brugsvejledning_multi_22,brugsvejledning_multi_22,,1,,,17722,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/brugsvejledning_multi_22.pdf
,,0,kl_stoker_manual,kl_stoker_manual,,1,,,17723,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/kl_stoker_manual.pdf
,,0,goliath_manual,goliath_manual,,1,,,17992,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-01/goliath_manual.pdf
,,0,brochure-atmos-braendekedler,brochure-atmos-braendekedler,,1,,,21375,"303131018, 303131025, 303131030, 303131040, 303131050",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-11/brochure-atmos-braendekedler.pdf
,,0,top10reservedele-redan,top10reservedele-redan,,1,,,21370,374923061,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/top10reservedele-redan.pdf
,,0,alpha_sammenligningsguide,alpha_sammenligningsguide,,1,,,2791,380474240,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2019-08/alpha_sammenligningsguide.pdf
,,0,a4_solcelle_26052021,a4_solcelle_26052021,,1,,,"20879, 20902",,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2021-05/a4_solcelle_26052021.pdf
,,0,fast_triangel_system_installation_guide_dk,fast_triangel_system_installation_guide_dk,,1,,,2843,"902012250, 902012160, 902012500, 902012510, 902012540, 902012650, 902012670",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-07/fast_triangel_system_installation_guide_dk.pdf
,,0,solsaet_vejledning,solsaet_vejledning,,1,,,"2845, 18282","379705150, 379997680, 379997690",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2019-08/solsaet_vejledning.pdf
,,0,vacuum_solfangere_datablad,vacuum_solfangere_datablad,,1,,,2844,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-02/vacuum_solfangere_datablad.pdf
,,0,metalbestos_multi_50_datablad,metalbestos_multi_50_datablad,,1,,,21631,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-12/metalbestos_multi_50_datablad.pdf
,,0,vento_monteringsanvisning,vento_monteringsanvisning,,1,,,21632,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-12/vento_monteringsanvisning.pdf
,,0,kappeisolering_datablad,kappeisolering_datablad,,1,,,18960,"499208132, 499208230, 499208232, 499208130, 499208532, 499208630, 499208638, 499208730, 499208732, 499208530",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2018-11/kappeisolering_datablad.pdf
,,0,broendregulering_100123,broendregulering_100123,,1,,,,195585315,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/broendregulering_100123.pdf
,,0,339318810_b,339318810_b,,1,,,,339318810,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/339318810_b.pdf
,,0,339318024_b,339318024_b,,1,,,,"339318824, 339318010, 339318024",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/339318024_b.pdf
